country,totalcase,newcase,totaldeath,newdeath,totalrecovered,newrecovered,activecases,serious,population
Hungary,"2,191,200",+866,"48,629                                ",+51,"2,133,974","+3,567","8,597",61,"9,606,259 "
New Zealand,"2,157,933",,"3,676                                ",,"2,136,333",,"17,924",,"4,898,203 "
Bangladesh,"2,037,399",+13,"29,441                                ",,"1,990,166",+204,"17,792","1,331","167,885,689 "
Slovakia,"1,860,251",+74,"20,888                                ",+6,"1,838,593",+108,770,28,"5,460,193 "
Georgia,"1,811,015",,"16,909                                ",,"1,776,548",,"17,558",,"3,968,738 "
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"10,300,869 "
Ireland,"1,697,775",,"8,388                                ",,"1,678,503",,"10,884",27,"5,020,199 "
Pakistan,"1,576,110",+24,"30,640                                ",,"1,538,689",,"6,781",12,"229,488,994 "
Norway,"1,477,128",,"4,571                                ",,"1,470,577",,"1,980",20,"5,511,370 "
Finland,"1,448,656",,"8,431                                ",,"1,433,097",+723,"7,128",21,"5,554,960 "
Kazakhstan,"1,405,114",+70,"13,695                                ",,"1,383,020",,"8,399",24,"19,205,043 "
Slovenia,"1,318,579",+388,"7,038                                ",+1,"1,301,896",+489,"9,645",20,"2,078,034 "
Bulgaria,"1,294,475",,"38,150                                ",,"1,252,843",,"3,482",50,"6,844,597 "
Lithuania,"1,293,405",+295,"9,524                                ",,"1,277,944",+473,"5,937",8,"2,661,708 "
Morocco,"1,272,090",,"16,296                                ",,"1,255,617",,177,293,"37,772,756 "
Croatia,"1,266,749",+130,"17,790                                ",+8,"1,247,874",+40,"1,085",23,"4,059,286 "
Lebanon,"1,225,635",,"10,764                                ",,"1,087,587",,"127,284",74,"6,684,849 "
Guatemala,"1,219,421",,"20,059                                ",,"1,189,867",,"9,495",5,"18,584,039 "
Bolivia,"1,181,351",+975,"22,337                                ",,"1,132,480","+1,037","26,534",220,"11,992,656 "
Costa Rica,"1,171,802",,"9,104                                ",,"860,711",,"301,987",52,"5,182,354 "
Tunisia,"1,150,217",,"29,291                                ",,N/A,N/A,N/A,44,"12,046,656 "
Cuba,"1,112,297",,"8,530                                ",,"1,103,639",,128,23,"11,305,652 "
UAE,"1,048,218",,"2,348                                ",,"1,031,498",,"14,372",,"10,081,785 "
Ecuador,"1,040,463",,"35,940                                ",,"1,004,523",,0,759,"18,113,361 "
Uruguay,"1,029,564",,"7,597                                ",,"1,018,679",,"3,288",18,"3,496,016 "
Panama,"1,028,272",,"8,589                                ",,"1,018,145",,"1,538",16,"4,446,964 "
Mongolia,"1,007,837",,"2,179                                ",,"1,005,243",,415,192,"3,378,078 "
Nepal,"1,001,068",+9,"12,020                                ",,"989,016",+1,32,,"30,225,582 "
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"9,432,800 "
Latvia,"975,035",+28,"6,203                                ",+3,"968,291",+65,541,13,"1,848,837 "
Azerbaijan,"827,525",+75,"10,060                                ",+6,"817,001",+59,464,,"10,300,205 "
Saudi Arabia,"827,488",+35,"9,549                                ",+3,"815,130",+32,"2,809",20,"35,844,909 "
Paraguay,"800,163",,"19,746                                ",,N/A,N/A,N/A,7,"7,305,843 "
Bahrain,"699,700",,"1,540                                ",,"697,725",,435,1,"1,783,983 "
Sri Lanka,"671,968",,"16,824                                ",,"655,139",,5,,"21,575,842 "
Kuwait,"662,858",,"2,570                                ",,"660,237",,51,,"4,380,326 "
Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4,"11,056,370 "
Cyprus,"638,062",,"1,270                                ",,"627,239",,"9,553",60,"1,223,387 "
Myanmar,"633,763",,"19,490                                ",,"614,222",,51,,"55,227,143 "
Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"5,345,541 "
Estonia,"613,206",+377,"2,896                                ",+11,"524,990",,"85,320",9,"1,321,910 "
Moldova,"597,598",,"11,947                                ",,"504,142",,"81,509",49,"4,013,171 "
Venezuela,"551,062",,"5,837                                ",,"544,478",,747,36,"29,266,991 "
Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"106,156,692 "
Libya,"507,158",,"6,437                                ",,"500,717",,4,,"7,040,745 "
Ethiopia,"499,200",,"7,572                                ",,"485,564",,"6,064",3,"120,812,698 "
Qatar,"491,644",,685                                ,,"490,530",,429,3,"2,979,915 "
Réunion,"483,818",,917                                ,,"418,572",,"64,329",10,"908,061 "
Honduras,"469,724",,"11,098                                ",,N/A,N/A,N/A,105,"10,221,247 "
Armenia,"446,008",,"8,717                                ",,"435,162",,"2,129",,"2,971,966 "
Bosnia and Herzegovina,"401,232",+6,"16,244                                ",+1,"378,996",+10,"5,992",,"3,249,317 "
Oman,"399,154",,"4,260                                ",,"384,669",,"10,225",2,"5,323,993 "
North Macedonia,"346,297",,"9,633                                ",,"336,460",,204,,"2,081,304 "
Kenya,"342,727",,"5,688                                ",,"336,914",,125,1,"56,215,221 "
Zambia,"337,780",,"4,037                                ",,"331,691",,"2,052",,"19,470,234 "
Albania,"334,064",,"3,595                                ",,"328,796",,"1,673",,"2,866,374 "
Botswana,"328,581",,"2,795                                ",,"323,747",,"2,039",1,"2,441,162 "
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"642,371 "
Montenegro,"285,710",,"2,794                                ",,"282,376",,540,6,"627,950 "
Brunei ,"272,646",,225                                ,,"243,601",,"28,820",3,"445,431 "
Algeria,"271,292",,"6,881                                ",,"182,692",,"81,719",,"45,350,148 "
Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"216,746,934 "
Zimbabwe,"259,981",,"5,637                                ",,"253,677",,667,12,"15,331,428 "
Uzbekistan,"250,273",,"1,637                                ",,"241,486",,"7,150",23,"34,382,084 "
Mozambique,"231,404",,"2,232                                ",,"228,801",,371,11,"33,089,461 "
Martinique,"229,348",,"1,095                                ",,N/A,N/A,N/A,8,"374,087 "
Laos,"217,934",,758                                ,,N/A,N/A,N/A,,"7,481,023 "
Iceland,"208,539",,229                                ,,N/A,N/A,N/A,2,"345,393 "
Afghanistan,"208,034",+3,"7,860                                ",,"185,872",+6,"14,302","1,124","40,754,388 "
Kyrgyzstan,"206,588",,"2,991                                ",,"196,406",,"7,191",131,"6,728,271 "
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"6,550,389 "
Guadeloupe,"200,965",,"1,003                                ",,N/A,N/A,N/A,19,"399,794 "
Trinidad and Tobago,"187,204",,"4,309                                ",,"182,723",,172,8,"1,406,585 "
Maldives,"185,708",,311                                ,,"163,687",,"21,710",25,"540,985 "
Ghana,"171,099",,"1,462                                ",,"169,626",,11,2,"32,395,450 "
Namibia,"170,496",,"4,083                                ",,"166,324",,89,,"2,633,874 "
Uganda,"170,279",,"3,630                                ",,"100,431",,"66,218",3,"48,432,863 "
Jamaica,"153,143",,"3,476                                ",,"102,116",,"47,551",,"2,985,094 "
Cambodia,"138,668",+3,"3,056                                ",,"135,600",+2,12,,"17,168,639 "
Rwanda,"133,078",,"1,468                                ",,"131,537",,73,,"13,600,464 "
Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"27,911,548 "
Malta,"116,882",+18,822                                ,,"115,325",+53,735,4,"444,033 "
Barbados,"105,905",,569                                ,,"105,314",,22,,"288,023 "
Angola,"105,095",,"1,930                                ",,"103,050",,115,,"35,027,343 "
Channel Islands,"100,846",,220                                ,,"100,278",,348,,"176,463 "
French Guiana,"97,982",,416                                ,,"11,254",,"86,312",6,"314,169 "
DRC,"95,346",,"1,463                                ",,"84,223",,"9,660",,"95,240,792 "
Senegal,"88,900",,"1,968                                ",,"86,915",,17,,"17,653,671 "
Malawi,"88,446",,"2,686                                ",,"85,291",,469,67,"20,180,839 "
Ivory Coast,"87,963",,833                                ,,"87,123",,7,,"27,742,298 "
Suriname,"82,020",,"1,398                                ",,N/A,N/A,N/A,,"596,831 "
New Caledonia,"79,785",,314                                ,,"79,400",,71,9,"290,915 "
French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"284,164 "
Eswatini,"74,086",,"1,422                                ",,"72,623",,41,,"1,184,817 "
Guyana,"72,720",,"1,293                                ",,"71,077",,350,,"794,045 "
Belize,"70,555",,688                                ,,"69,785",,82,6,"412,190 "
Fiji,"68,793",,883                                ,,"66,752",,"1,158",,"909,466 "
Madagascar,"67,788",,"1,418                                ",,"66,331",,39,,"29,178,077 "
Sudan,"63,717",,"4,998                                ",,"58,277",,442,,"45,992,020 "
Mauritania,"63,664",,997                                ,,"62,433",,234,,"4,901,981 "
Cabo Verde,"63,222",,412                                ,,"62,748",,62,23,"567,678 "
Bhutan,"62,577",,21                                ,,"61,564",,992,,"787,941 "
Syria,"57,441",,"3,164                                ",,"54,275",,2,,"19,364,809 "
Burundi,"52,162",,38                                ,,"51,393",,731,,"12,624,840 "
Seychelles,"50,355",,172                                ,,"50,026",,157,,"99,426 "
Gabon,"48,980",,306                                ,,"48,668",,6,,"2,331,533 "
Andorra,"47,781",,165                                ,,"47,563",,53,14,"77,463 "
Papua New Guinea,"46,663",,669                                ,,"43,982",,"2,012",7,"9,292,169 "
Curaçao,"45,986",,295                                ,,"44,720",,971,3,"165,529 "
Aruba,"43,936",,236                                ,,"42,438",,"1,262",2,"107,609 "
Tanzania,"42,530",,846                                ,,N/A,N/A,N/A,7,"63,298,550 "
Mayotte,"42,002",,188                                ,,N/A,N/A,N/A,,"286,259 "
Mauritius,"41,584",,"1,042                                ",,"39,861",,681,,"1,274,727 "
Togo,"39,352",,290                                ,,"39,055",,7,,"8,680,837 "
Guinea,"38,224",,467                                ,,"37,757",,0,8,"13,865,691 "
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"85,732 "
Bahamas,"37,491",,833                                ,,"36,366",,292,1,"400,516 "
Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"2,175,699 "
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"49,233 "
Haiti,"33,969",,860                                ,,"32,977",,132,,"11,680,283 "
Mali,"32,772",,743                                ,,"31,952",,77,,"21,473,764 "
Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"67,277 "
Saint Lucia,"29,759",,409                                ,,"29,095",,255,,"185,113 "
Benin,"27,989",,163                                ,,"27,823",,3,,"12,784,726 "
Somalia,"27,310",,"1,361                                ",,"13,182",,"12,767",,"16,841,795 "
Congo,"25,375",,386                                ,,"24,006",,983,,"5,797,805 "
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"721,159 "
Timor-Leste,"23,407",,138                                ,,"23,102",,167,,"1,369,429 "
San Marino,"23,290",,121                                ,,"23,034",,135,4,"34,085 "
Micronesia,"22,247",,58                                ,,N/A,N/A,N/A,1,"117,489 "
Burkina Faso,"22,025",,396                                ,,"21,596",,33,,"22,102,838 "
Liechtenstein,"21,319",,88                                ,,"21,211",,20,,"38,387 "
Gibraltar,"20,379",,111                                ,,"16,579",,"3,689",,"33,704 "
Grenada,"19,680",,238                                ,,"19,358",,84,4,"113,475 "
Bermuda,"18,718",,155                                ,,"18,529",,34,,"61,939 "
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"6,779,100 "
South Sudan,"18,368",,138                                ,,"18,115",,115,1,"11,618,511 "
Tajikistan,"17,786",,125                                ,,"17,264",,397,,"9,957,464 "
Equatorial Guinea,"17,186",,183                                ,,"16,880",,123,5,"1,496,662 "
Tonga,"16,590",,13                                ,,"15,638",,939,,"107,749 "
Monaco,"16,035",,65                                ,,"15,951",,19,4,"39,783 "
Samoa,"16,008",,29                                ,,"1,605",,"14,374",,"202,239 "
Dominica,"15,760",,74                                ,,"15,673",,13,,"72,344 "
Djibouti,"15,690",,189                                ,,"15,427",,74,,"1,016,097 "
Marshall Islands,"15,554",,17                                ,,"15,528",,9,,"60,057 "
CAR,"15,361",,113                                ,,"14,777",,471,2,"5,016,678 "
Gambia,"12,586",,372                                ,,"12,189",,25,,"2,558,482 "
Saint Martin,"12,222",,63                                ,,"1,399",,"10,760",7,"39,730 "
Vanuatu,"12,014",,14                                ,,"11,976",,24,,"321,832 "
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"56,973 "
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,"31,154,867 "
Caribbean Netherlands,"11,646",,38                                ,,"10,476",,"1,132",,"26,647 "
Sint Maarten,"11,005",,89                                ,,"10,905",,11,,"43,966 "
Eritrea,"10,189",,103                                ,,"10,086",,0,,"3,662,244 "
Niger,"9,931",,312                                ,,"8,890",,729,1,"26,083,660 "
St. Vincent Grenadines,"9,563",,121                                ,,"9,429",,13,,"111,551 "
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"99,509 "
Comoros,"8,992",,161                                ,,"8,827",,4,,"907,419 "
Guinea-Bissau,"8,947",,176                                ,,"8,656",,115,6,"2,063,367 "
Liberia,"8,043",,294                                ,,"7,741",,8,2,"5,305,117 "
Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,"8,306,436 "
Chad,"7,651",,194                                ,,"4,874",,"2,583",,"17,413,580 "
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"30,596 "
Cook Islands,"6,959",,2                                ,,"6,912",,45,,"17,571 "
Saint Kitts and Nevis,"6,581",,46                                ,,"6,525",,10,,"53,871 "
Turks and Caicos,"6,479",,36                                ,,"6,423",,20,4,"39,741 "
Sao Tome and Principe,"6,279",,77                                ,,"6,202",,0,,"227,679 "
Palau,"5,980",,9                                ,,"5,970",,1,1,"18,233 "
St. Barth,"5,418",,6                                ,,N/A,N/A,N/A,,"9,945 "
Kiribati,"4,921",,17                                ,,"2,703",,"2,201",3,"123,419 "
Nauru,"4,621",,1                                ,,"4,609",,11,,"10,903 "
Anguilla,"3,904",,12                                ,,"3,879",,13,4,"15,230 "
Macao,"3,445",+6,114                                ,+1,"3,251",+17,80,,"667,490 "
Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"10,982 "
Saint Pierre Miquelon,"3,368",,2                                ,,"2,449",,917,1,"5,759 "
Tuvalu,"2,805",, ,,,,"2,805",,"12,066 "
Falkland Islands,"1,930",, ,,"1,930",,0,,"3,539 "
Saint Helena,"1,806",, ,,2,,"1,804",,"6,115 "
Montserrat,"1,403",,8                                ,,"1,376",,19,,"4,965 "
Niue,723,+2, ,,680,+11,43,,"1,622 "
Diamond Princess,712,,13                                ,,699,,0,, 
Vatican City,29,, ,,29,,0,,799 
Western Sahara,10,,1                                ,,9,,0,,"626,161 "
MS Zaandam,9,,2                                ,,7,,0,, 
Tokelau,5,, ,,,,5,,"1,378 "
China,"503,302",,"5,272                                ",,"379,053",,"118,977","7,557","1,448,471,400                                "
